"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"249",40.71456,-73.99154,"Bacaro","italian","$$$",4,375,"Chinatown","Manhattan"
"250",40.7500752,-73.9837835,"Ai Fiori","italian","$$$$",4,1183,"Midtown","Manhattan"
"251",40.74985,-73.98229,"Mani In Pasta","italian","$",4,86,"Midtown","Manhattan"
"252",40.730551,-73.9834846,"Luzzos La Pizza Napoletana","italian","$$",4,1012,"East Village","Manhattan"
"253",40.7215934960083,-73.9955956044561,"Lombardi's Pizza","italian","$$",4,5831,"Nolita","Manhattan"
"254",40.7748162,-73.9132582,"Ornella Trattoria Italiana","italian","$$",4,837,"Ditmars Steinway","Queens"
"255",40.7814059,-73.97918,"Tessa","italian","$$$",4,338,"Upper West Side","Manhattan"
"256",40.826943,-73.973692,"Roberto's II Ristorante","italian","$$",4,76,NA,NA
"257",40.7056571,-74.0172056,"Inatteso Pizzabar Casano","italian","$$",4,290,"Battery Park City","Manhattan"
"258",40.7307352,-73.9862681,"Cacio E Pepe","italian","$$",3.5,468,"East Village","Manhattan"
"259",40.76652,-73.9598,"Donna Margherita","italian","$$",4,40,"Upper East Side","Manhattan"
"260",40.7443479,-73.9988054,"Momofuku Nishi","italian","$$",4,534,"Chelsea","Manhattan"
"261",40.7395804,-73.999118,"Bar B","italian","$$",4.5,169,"Chelsea","Manhattan"
"262",40.7395804,-73.999118,"Bar B","italian","$$",4.5,169,"Chelsea","Manhattan"
"263",40.76174,-73.96569,"Canaletto","italian","$$$",4,59,"Upper East Side","Manhattan"
"264",40.78666,-73.97599,"Celeste","italian","$$",3.5,867,"Upper West Side","Manhattan"
"265",40.77764,-73.94565,"Mimmo Cucina Italiana","italian","$$$",4,62,"Upper East Side","Manhattan"
"266",40.642,-74.07729,"Enoteca Maria","italian","$$",4,362,"St. George","Staten Island"
"267",40.75471,-73.97067,"Da Noi","italian","$$$",4,129,"Midtown","Manhattan"
"268",40.7430619,-73.9903948,"Trattoria Italienne","italian","$$$",4.5,111,"Flatiron District","Manhattan"
"269",40.783535,-73.952719,"Sfoglia Restaurant","italian","$$$",4,266,"Upper East Side","Manhattan"
"270",40.7214961,-73.9887357,"The Meatball Shop","italian","$$",4,2715,"Lower East Side","Manhattan"
"271",40.76343,-73.98655,"Maria Pia","italian","$$",3.5,406,"Hell's Kitchen","Manhattan"
